Område,År,Uke,Nedbørsenergi,Nyttbart tilsig HBV (brukes før 2015 og til min/maks/gj.snitt),"Nyttbart tilsig (produksjonsdata og magasinstatistikk, brukes f.o.m. 2015)",Hydrologisk balanse,Magasinavvik,Mark-og grunnvann,Snø,"Avvik snø, mark og grunnvann"
NO,2020,25,-880,13709,11866,20944,2758,19472,27512,18186
NO,2013,21,3308,12309,11285,-6151,1321,20018,21047,-7472
NO,2018,19,1733,11117,11172,-9045,3231,20650,24521,-12276
NO,2011,23,5353,9756,10944,-7915,-935,20344,10903,-6980
NO,2014,21,1886,9734,10755,14119,1463,20683,40510,12656
NO,2004,19,2932,7762,10454,-9296,4415,20045,23691,-13711
NO,2020,24,156,10237,10375,25630,-3287,20356,41807,28917
NO,2016,22,63,10086,10226,-105,6585,18574,18126,-6690
NO,2017,23,4166,7309,10219,2678,1422,19250,20233,1256
NO,2020,23,1972,12291,10171,26844,-7633,20907,51797,34477
NO,2024,22,1812,9628,10071,-9333,7278,17438,9341,-16611
NO,2020,26,208,11957,9880,17144,7426,17632,17191,9718
NO,2024,20,-488,10060,9760,-8536,1239,19062,24525,-9775
NO,2008,23,-1647,12885,9514,9998,9353,19264,19608,646
NO,2024,21,411,9187,9446,-10110,4042,19360,15025,-14152
NO,2015,27,-344,8479,9433,17307,-8546,18038,29840,25853
NO,2013,22,825,9739,9430,-7682,3955,19581,12172,-11637
NO,2010,20,1879,9137,9391,-20409,-4903,19508,18347,-15506
NO,2005,24,3373,8805,9387,19843,-4305,19535,37860,24148
NO,2005,25,1138,10124,9312,18523,-619,18355,29586,19143
NO,2003,23,1044,8202,9102,-17011,-9908,18418,12706,-7103
NO,2019,21,3230,7541,9097,-13655,5675,18098,11109,-19331
NO,2017,20,4904,7300,8803,-733,-2939,19332,36235,2206
NO,2007,23,-1775,11067,8694,17160,6464,19233,29690,10695
NO,2000,20,1620,10128,8671,30414,15944,19131,48700,14470
NO,2007,27,3122,6979,8605,14019,10339,16645,9060,3680
NO,2014,23,211,9002,8506,8417,4368,18918,23358,4049
NO,2019,23,2695,5315,8497,-6744,5308,18246,7929,-12052
NO,2015,28,4018,9246,8448,18348,-4367,17781,24421,22715
NO,2014,22,14,9286,8372,11073,2975,19344,32145,8098
NO,2013,20,4197,7554,8263,-6045,-3340,20322,30334,-2705
NO,2002,21,1179,6776,8155,14851,11808,19339,32241,3043
NO,2007,22,2164,6940,8026,23573,4688,20071,42203,18884
NO,2018,20,-899,10046,8025,-13566,6005,18443,15347,-19571
NO,2017,21,571,7234,8004,-1591,-1626,18212,30360,35
NO,2016,21,1611,7541,7919,1862,3237,19310,27852,-1375
NO,2023,21,2524,9370,7864,25,-2543,19463,31643,2568
NO,2012,27,1714,7331,7860,14371,4951,17892,13553,9420
NO,2014,24,587,7825,7853,7446,6017,17080,17595,1429
NO,2021,22,-1695,8940,7851,-12578,4199,17750,8863,-16777
NO,2017,24,1100,7368,7802,2751,3052,17576,15369,-301
NO,2002,22,2216,7724,7787,15189,12854,19041,26685,2336
NO,2005,27,107,9265,7758,12208,3042,16620,14571,9166
NO,2022,26,2510,8103,7699,-5077,-5645,16274,9399,567
NO,2022,21,2128,7014,7649,-3422,-10066,18342,36839,6644
NO,2023,24,-1285,8983,7648,-7730,-2131,17844,9804,-5598
NO,2002,23,-1595,8618,7550,10402,13479,17907,17243,-3077
NO,2003,22,1841,6947,7448,-17118,-12395,18418,20249,-4723
NO,2023,25,432,7056,7325,-8612,-705,15798,5094,-7907
NO,2008,19,622,8092,7245,22825,9627,19768,50877,13198
NO,2012,25,2047,7105,7183,15484,459,18906,24918,15025
NO,2012,26,697,6898,7178,14368,2145,18084,19244,12223
NO,2022,23,257,7097,7139,-4767,-9521,18444,24537,4754
NO,2021,23,231,5860,7124,-13075,4288,15892,4972,-17363
NO,2011,26,4448,6236,7123,-3242,1477,16940,3446,-4719
NO,2022,22,1711,6418,7095,-3023,-9805,18858,31313,6781
NO,2012,21,-506,7692,7089,18181,2584,19899,44235,15597
NO,2012,28,4618,8294,7084,15637,7590,18241,9293,8047
NO,2022,24,1443,6568,7083,-4329,-8615,17300,20233,4286
NO,2000,18,1205,7636,7029,35311,11126,18242,66595,24185
NO,2000,26,3340,7846,6976,29246,12554,19929,21868,16692
NO,2000,25,3348,8268,6943,28911,11092,19424,27194,17819
NO,2011,24,1918,7212,6891,-7397,83,18119,7648,-7480
NO,2022,25,-107,5729,6832,-5175,-7833,16177,15279,2658
NO,2008,22,-522,7374,6824,17526,6910,20636,33370,10616
NO,2002,24,2151,8243,6820,9698,14177,16906,11861,-4479
NO,2023,20,394,7521,6785,1054,-4018,19787,38646,5072
NO,2005,21,3394,5832,6686,17704,-4913,18204,52951,22618
NO,2002,20,866,6542,6678,14355,10199,18122,39395,4156
NO,2021,21,321,6012,6671,-7624,3306,19152,18456,-10930
NO,2017,22,855,6224,6626,-2330,-1861,17008,25913,-469
NO,2014,28,898,5853,6598,3621,4561,13886,4661,-940
NO,2015,26,270,6958,6569,18918,-13078,17970,39132,31997
NO,2018,22,-1670,5338,6556,-18985,5668,14008,4729,-24653
NO,2021,20,1527,6688,6553,-6330,3461,18538,25032,-9791
NO,2023,23,-585,7194,6547,-3451,-3507,19233,19050,56
NO,2000,19,241,7839,6415,32348,12962,18632,58201,19386
NO,2008,18,4194,6256,6415,24525,6637,17684,60856,17888
NO,2024,19,662,7104,6325,-5749,-3178,19387,35488,-2572
NO,2012,24,1879,6292,6273,15020,-927,18565,30629,15948
NO,2011,22,2831,5244,6206,-12363,-5035,18516,17547,-7327
NO,2021,24,4070,4655,6185,-8775,4284,16366,3821,-13059
NO,2019,24,1648,5122,6180,-4950,5659,16875,5763,-10609
NO,2003,24,614,6020,6176,-17113,-9331,16696,8768,-7783
NO,2003,21,2884,5711,6157,-18259,-13815,18467,25627,-4444
NO,2006,19,163,9172,6155,-15628,1542,17929,22348,-17170
NO,2020,22,667,7162,6140,29341,-10879,19275,64334,40220
