Area,Year,Week,Precipitation energy (GWh),Useful inflow HBV (used before 2015 and to min/max/avg) (GWh),"Useful inflow (production data and reservoir statistics, used from 2015) (GWh)",Hydrological balance (GWh),Reservoir deviation (GWh),Groundwater and groundwater (GWh),Snow (GWh),"Deviation snow, ground and groundwater (GWh)"
NO,2026,18,1088,3587,,,,17213,21827,-21612
NO,2026,17,857,2500,2381,-20912,371,15904,25765,-21283
NO,2026,16,1911,1364,1381,-21182,-301,16232,27231,-20881
NO,2026,15,541,881,736,-21075,-90,14432,29448,-20984
NO,2026,14,4791,1072,946,-20316,-110,14402,30157,-20206
NO,2026,13,3253,1206,1007,-23164,-530,14284,27104,-22635
NO,2026,12,1995,1819,1115,-24174,-1175,14875,24906,-22999
NO,2026,11,4521,1579,1075,-23236,-1830,13915,25913,-21405
NO,2026,10,2775,862,616,-24514,-2528,13569,23958,-21986
NO,2026,9,3493,452,593,-23788,-2545,12752,23399,-21243
NO,2026,8,2511,173,195,-24568,-2843,12545,20974,-21724
NO,2026,7,520,178,184,-24181,-2457,12630,18690,-21725
NO,2026,6,201,218,248,-21562,-1877,12766,18209,-19685
NO,2026,5,241,283,233,-18626,-1453,12936,18024,-17173
NO,2026,4,355,413,353,-15061,-469,13166,17799,-14592
NO,2026,3,3576,522,508,-11208,491,13510,17586,-11698
NO,2026,2,860,594,519,-10561,1338,13710,14575,-11899
NO,2026,1,2997,1040,796,-7363,2504,14246,13774,-9867
NO,2025,52,2595,1896,1364,-4447,2719,15136,11014,-7166
NO,2025,51,5256,4098,3461,-2337,3305,15747,9881,-5642
NO,2025,50,5213,2128,2699,-3569,1309,15273,8925,-4877
NO,2025,49,2596,1932,1701,-5282,-251,14359,7417,-5032
NO,2025,48,3896,1379,1359,-4196,-507,14732,6319,-3689
NO,2025,47,1412,1219,966,-4194,-447,14717,4417,-3747
NO,2025,46,4355,2552,2590,-1512,742,15762,3322,-2255
NO,2025,45,3904,3742,3667,-2263,234,16321,1179,-2497
NO,2025,44,2707,2247,2061,-2644,-1501,15880,1708,-1142
NO,2025,43,4468,2630,2521,-1403,-815,16040,1178,-588
NO,2025,42,2001,2908,2299,-2063,-593,14522,993,-1470
NO,2025,41,4434,4147,4244,-775,-567,15346,580,-208
NO,2025,40,4382,1911,2122,-2174,-2060,14851,520,-115
NO,2025,39,343,2568,1975,-2758,-1467,13513,255,-1292
NO,2025,38,3292,4137,3952,409,-395,14901,505,804
NO,2025,37,5277,3918,3576,-338,-1678,15189,368,1340
NO,2025,36,5339,4078,4478,-2417,-2194,13430,448,-223
NO,2025,35,705,1541,1164,-5824,-3792,11497,580,-2031
