Month,TWh,log_TWh,diff_TWh
1993 Jan,11.673067,2.4572842223953373,NA
1993 Feb,10.636402,2.364282268830488,-1.0366649999999993
1993 Mar,11.377918,2.4316744594119952,0.741515999999999
1993 Apr,9.426997,2.243577594179105,-1.9509209999999992
1993 May,8.292378,2.115336779641609,-1.1346190000000007
1993 Jun,8.112115,2.093358623276941,-0.18026300000000006
1993 Jul,7.394606,2.000750815500642,-0.7175089999999997
1993 Aug,8.067914,2.0878949606400123,0.6733080000000005
1993 Sept,9.308581,2.2309366629161853,1.2406670000000002
1993 Oct,10.674093,2.3678195906337747,1.365511999999999
1993 Nov,11.913778,2.4776955454925167,1.2396850000000015
1993 Dec,12.635875,2.5365399905199055,0.7220969999999998
1994 Jan,12.358991,2.5143838143930766,-0.2768840000000008
1994 Feb,11.369816,2.4309621246939446,-0.9891749999999995
1994 Mar,10.131814,2.3156803742922825,-1.2380019999999998
1994 Apr,8.258317,2.1112208137457844,-1.8734970000000004
1994 May,8.145214,2.097430515496458,-0.11310300000000062
1994 Jun,8.267441,2.1123250294709655,0.12222700000000053
1994 Jul,7.104508,1.9607295121422306,-1.1629329999999998
1994 Aug,7.743224,2.0468181383416875,0.6387159999999996
1994 Sept,8.489197,2.1387944139890966,0.7459730000000011
1994 Oct,9.835215,2.285969312303657,1.346017999999999
1994 Nov,10.145951,2.317074709643382,0.31073600000000035
1994 Dec,10.957075,2.393985366339138,0.8111239999999995
1995 Jan,12.166565,2.4986916157210395,1.2094900000000006
1995 Feb,10.824208,2.3817851072396534,-1.3423569999999998
1995 Mar,11.4473,2.4377538943329418,0.6230919999999998
1995 Apr,9.934022,2.2959654312991753,-1.5132779999999997
1995 May,8.799962,2.1747474032930194,-1.1340599999999998
1995 Jun,8.027187,2.0828341552528187,-0.7727750000000011
1995 Jul,7.951091,2.073309151955097,-0.07609599999999972
1995 Aug,8.4605340000000009,2.1354122921934886,0.509443000000001
1995 Sept,8.75036,2.169094842380322,0.2898259999999997
1995 Oct,10.270142,2.3292408505245286,1.5197819999999993
1995 Nov,12.325277,2.511652194321233,2.055135
1995 Dec,13.527284,2.604708682933607,1.202007
1996 Jan,13.572312,2.6080318351634992,0.04502800000000029
1996 Feb,12.402827,2.5179244304975854,-1.1694849999999999
1996 Mar,11.104426,2.407343767581862,-1.2984010000000001
1996 Apr,8.353576,2.122689710657191,-2.75085
1996 May,8.370847,2.1247550741246717,0.017270999999999148
1996 Jun,6.261011,1.8343416736694722,-2.1098359999999996
1996 Jul,5.563904,1.7163000201380854,-0.6971069999999999
1996 Aug,5.926422,1.779420658225802,0.3625179999999997
1996 Sept,6.101372,1.8085136639217838,0.17494999999999994
1996 Oct,7.110925,1.961632333805963,1.0095530000000004
1996 Nov,9.062277,2.204120412981487,1.951352
1996 Dec,10.085537,2.3111024173857073,1.0232600000000005
1997 Jan,9.846254,2.2870910782813474,-0.23928300000000036
1997 Feb,8.460885,2.1354537780759726,-1.3853690000000007
1997 Mar,9.526318,2.2540582841435572,1.0654330000000005
1997 Apr,9.247383,2.2243405925763073,-0.2789350000000006
1997 May,8.267072,2.1122803955588494,-0.9803109999999986
1997 Jun,7.628962,2.0319517941021097,-0.6381100000000011
1997 Jul,7.356612,1.9955995006712497,-0.2723499999999994
1997 Aug,7.786485,2.0523895385403046,0.4298729999999997
1997 Sept,9.275641,2.227391716617607,1.4891560000000004
1997 Oct,10.809934,2.3804655261745693,1.534293
1997 Nov,10.988098,2.3968126870137865,0.17816400000000066
1997 Dec,11.727982,2.4619776103545776,0.739884
1998 Jan,11.578402,2.4491414660766813,-0.14958000000000027
1998 Feb,10.033614,2.3059408561173984,-1.5447880000000005
1998 Mar,11.197273,2.415670266511602,1.1636589999999991
