"Month","fill_rate_mean","energy_TWh_mean","capacity_TWh"
1995 Jan,0.558810516,48.861039,87.43758
1995 Feb,0.441916435,38.64010225,87.43758
1995 Mar,0.3345650625,29.25355875,87.43758
1995 Apr,0.242037575,21.1631795,87.43758
1995 May,0.261606932,22.874276,87.43758
1995 Jun,0.5876810625,51.385408,87.43758
1995 Jul,0.795840244,69.586342,87.43758
1995 Aug,0.8785342225,76.816905,87.43758
1995 Sept,0.8812877575,77.0576675,87.43758
1995 Oct,0.941049318,82.283074,87.43758
1995 Nov,0.89393769,78.1637475,87.43758
1995 Dec,0.7824614075,68.41653225,87.43758
1996 Jan,0.63289048,55.3384116,87.43758
1996 Feb,0.473888725,41.4356825,87.43758
1996 Mar,0.3511646475,30.70498525,87.43758
1996 Apr,0.265354484,23.2019538,87.43758
1996 May,0.2776506125,24.27709675,87.43758
1996 Jun,0.41167752,35.9960855,87.43758
1996 Jul,0.530983448,46.4279072,87.43758
1996 Aug,0.58194239,50.88363475,87.43758
1996 Sept,0.595152988,52.0387352,87.43758
1996 Oct,0.640697025,56.020996,87.43758
1996 Nov,0.6499659275,56.8314465,87.43758
1996 Dec,0.559864198,48.9531702,87.43758
1997 Jan,0.4525016425,39.56564825,87.43758
1997 Feb,0.389984865,34.099331,87.43758
1997 Mar,0.32310981,28.2519384,87.43758
1997 Apr,0.2562699875,22.4076275,87.43758
1997 May,0.2654295525,23.208517,87.43758
1997 Jun,0.519775928,45.4479476,87.43758
1997 Jul,0.7492969375,65.5167085,87.43758
1997 Aug,0.80751279,70.6069625,87.43758
1997 Sept,0.87744488,76.7216552,87.43758
1997 Oct,0.8895029675,77.775985,87.43758
1997 Nov,0.82745954,72.3510575,87.43758
1997 Dec,0.72116165,63.056625,87.43758
1998 Jan,0.6201467625,54.224133,87.43758
1998 Feb,0.54424875,47.58779325,87.43758
1998 Mar,0.47098174,41.1815022,87.43758
1998 Apr,0.4068036,35.56992275,87.43758
1998 May,0.491129555,42.943179,87.43758
