Month,TWh
1993 Jan,11.718176
1993 Feb,10.675869
1993 Mar,11.406111
1993 Apr,9.464337
1993 May,8.339679
1993 Jun,8.160956
1993 Jul,7.418503
1993 Aug,8.12223
1993 Sept,9.34953
1993 Oct,10.718685
1993 Nov,11.954294
1993 Dec,12.672293
1994 Jan,12.401753
1994 Feb,11.413645
1994 Mar,10.177098
1994 Apr,8.304813
1994 May,8.20682
1994 Jun,8.334119
1994 Jul,7.162824
1994 Aug,7.790565
1994 Sept,8.537468
1994 Oct,9.904844
1994 Nov,10.214888
1994 Dec,11.033435
1995 Jan,12.233989
1995 Feb,10.889383
1995 Mar,11.518461
1995 Apr,9.998719
1995 May,8.862919
1995 Jun,8.10144
1995 Jul,8.009238
1995 Aug,8.513385
1995 Sept,8.794833
1995 Oct,10.313825
1995 Nov,12.366096
1995 Dec,13.582892
1996 Jan,13.64645
1996 Feb,12.47701
1996 Mar,11.168545
1996 Apr,8.429734
1996 May,8.445406
1996 Jun,6.313332
1996 Jul,5.633043
1996 Aug,5.988037
1996 Sept,6.170778
1996 Oct,7.184282
1996 Nov,9.135765
1996 Dec,10.156533
1997 Jan,9.915507
1997 Feb,8.523572
1997 Mar,9.591261
1997 Apr,9.315316
1997 May,8.335058
1997 Jun,7.672333
1997 Jul,7.403846
1997 Aug,7.837149
1997 Sept,9.321202
1997 Oct,10.863016
1997 Nov,11.046738
1997 Dec,11.803947
1998 Jan,11.654934
1998 Feb,10.098134
1998 Mar,11.267669
1998 Apr,9.511113
1998 May,7.912766
1998 Jun,7.742785
1998 Jul,7.346171
1998 Aug,9.041728
1998 Sept,9.084784
1998 Oct,10.615623
1998 Nov,11.243624
1998 Dec,11.456994
1999 Jan,11.881762
1999 Feb,10.908905
1999 Mar,10.973808
1999 Apr,9.285955
1999 May,8.822529
1999 Jun,8.678596
1999 Jul,9.293484
1999 Aug,9.710909
1999 Sept,8.888624
1999 Oct,9.736827
1999 Nov,11.318847
1999 Dec,13.160163
2000 Jan,13.311167
2000 Feb,12.535825
2000 Mar,13.941369
2000 Apr,11.625547
2000 May,11.310793
2000 Jun,10.793947
2000 Jul,10.099184
2000 Aug,10.78524
2000 Sept,11.168964
2000 Oct,11.848916
2000 Nov,12.106914
2000 Dec,13.456026
2001 Jan,14.03017
2001 Feb,12.515802
2001 Mar,11.94149
2001 Apr,9.304444
2001 May,7.933848
2001 Jun,7.621175
2001 Jul,6.911724
2001 Aug,7.889824
2001 Sept,7.702018
2001 Oct,9.950978
2001 Nov,12.445641
2001 Dec,13.673111
2002 Jan,13.515432
2002 Feb,11.494888
2002 Mar,11.825353
2002 Apr,9.734993
2002 May,9.587785
2002 Jun,9.858731
2002 Jul,9.571327
2002 Aug,9.764895
2002 Sept,9.505207
2002 Oct,11.808279
2002 Nov,11.987974
2002 Dec,11.945943
2003 Jan,11.004299
2003 Feb,9.820713
2003 Mar,8.940954
2003 Apr,7.451183
2003 May,7.290123
2003 Jun,7.952521
2003 Jul,7.114056
2003 Aug,7.792292
2003 Sept,8.544277
2003 Oct,10.851877
2003 Nov,9.971823
2003 Dec,10.539325
2004 Jan,12.35397
2004 Feb,10.745063
2004 Mar,10.588201
2004 Apr,7.914122
2004 May,7.706207
2004 Jun,7.767541
2004 Jul,6.303412
2004 Aug,7.630286
2004 Sept,8.029156
2004 Oct,9.254938
2004 Nov,10.725713
2004 Dec,11.583562
2005 Jan,13.405894
2005 Feb,13.387104
2005 Mar,13.64965
2005 Apr,10.88213
2005 May,9.94466
2005 Jun,9.613944
2005 Jul,9.191659
2005 Aug,9.417427
2005 Sept,9.606988
2005 Oct,11.300263
2005 Nov,13.102465
2005 Dec,14.605726
2006 Jan,14.81821
2006 Feb,13.209774
2006 Mar,13.627918
2006 Apr,9.584819
2006 May,7.942314
2006 Jun,8.531405
2006 Jul,8.000033
2006 Aug,8.396412
2006 Sept,7.920908
2006 Oct,8.583828
2006 Nov,10.210525
